datetime,stasiun,pm10,pm25,so2,co,o3,no2,max,critical_parameter,target_kategori,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_gusts_10m_max,winddirection_10m_dominant,relative_humidity_2m_max,relative_humidity_2m_min,cloud_cover_max,cloud_cover_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,surface_pressure_max,surface_pressure_min,washout_effect,ventilation_proxy,rainy_day,is_holiday_nasional,nama_libur,is_weekend,day_name,is_working_day,tahun,Total_Penduduk,ndvi,month,hour,day_of_week,month_sin,month_cos,hour_sin,hour_cos,stasiun_id,temperature_2m_mean_lag1,temperature_2m_mean_lag3,temperature_2m_mean_lag24,wind_speed_10m_mean_lag1,wind_speed_10m_mean_lag3,wind_speed_10m_mean_lag24,precipitation_sum_lag1,precipitation_sum_lag3,precipitation_sum_lag24,temperature_2m_mean_roll_mean_24h,wind_speed_10m_mean_roll_mean_24h,precipitation_sum_roll_mean_24h,source,ispu_pm25_recalc,category_recalc
2010-01-01,DKI1,60.0,51.0,4.0,73.0,27.0,14.0,73.0,CO,SEDANG,29.4,24.4,4.0,14.0,16.0,246.0,16.24,26.6,81.0,100.0,1007.5,38.2,246.0,90.0,69.0,100.0,99.0,21.0,10.5,11.9,6.9,1009.3,1005.1,42.0,0.0104218362282878,1.0,1.0,New Year's Day,0.0,Friday,0,2010.0,902973.0,0.2023,1.0,0.0,4.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,26.6,26.6,26.6,10.5,10.5,10.5,4.0,4.0,4.0,26.6,10.5,4.0,original,95,SEDANG
2010-01-02,DKI1,32.0,51.0,2.0,16.0,33.0,9.0,33.0,O3,BAIK,30.8,24.0,6.5,4.0,14.7,238.0,19.8,26.9,82.0,99.0,1008.1,31.3,238.0,93.0,69.0,100.0,91.0,16.5,7.7,9.0,4.4,1009.9,1006.0,50.05,0.0076381311377839,1.0,0.0,Lunar New Year,1.0,Saturday,0,2010.0,902973.0,0.20361875,1.0,0.0,5.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,26.6,26.6,26.6,10.5,10.5,10.5,4.0,4.0,4.0,26.75,9.1,5.25,original,95,SEDANG
2010-01-03,DKI1,27.0,51.0,2.0,19.0,20.0,9.0,27.0,PM10,BAIK,30.4,24.3,7.6,11.0,12.6,244.0,17.32,26.7,83.0,97.0,1008.5,26.6,244.0,91.0,70.0,100.0,81.0,18.4,9.4,11.9,6.5,1010.5,1006.5,71.44,0.00932077342588,1.0,0.0,Lunar New Year,1.0,Sunday,0,2010.0,902973.0,0.2049375,1.0,0.0,6.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,26.9,26.6,26.6,7.7,10.5,10.5,6.5,4.0,4.0,26.733333333333334,9.200000000000001,6.033333333333334,original,95,SEDANG
2010-01-04,DKI1,22.0,51.0,2.0,16.0,15.0,6.0,22.0,PM10,BAIK,30.3,25.4,0.9,5.0,19.3,239.0,20.43,27.4,81.0,69.0,1007.5,34.2,239.0,91.0,70.0,100.0,17.0,23.8,13.5,14.4,9.6,1009.1,1005.1,12.15,0.0133995037220843,0.0,0.0,Lunar New Year,0.0,Monday,1,2010.0,902973.0,0.20625625,1.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,26.7,26.6,26.6,9.4,10.5,10.5,7.6,4.0,4.0,26.9,10.275,4.75,original,95,SEDANG
2010-01-05,DKI1,25.0,51.0,2.0,17.0,15.0,8.0,25.0,PM10,BAIK,29.9,24.8,14.3,7.0,15.9,247.0,15.86,26.4,83.0,100.0,1007.7,32.0,247.0,89.0,72.0,100.0,99.0,21.6,11.1,10.4,7.8,1009.1,1006.0,158.73,0.0110151830902054,1.0,0.0,Lunar New Year,0.0,Tuesday,1,2010.0,902973.0,0.207575,1.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,27.4,26.9,26.6,13.5,7.7,10.5,0.9,6.5,4.0,26.8,10.440000000000001,6.659999999999999,original,95,SEDANG
2010-01-06,DKI1,30.0,51.0,3.0,22.0,19.0,11.0,30.0,PM10,BAIK,29.2,23.8,13.2,10.0,16.2,236.0,17.02,26.2,83.0,99.0,1008.7,34.6,236.0,92.0,72.0,100.0,94.0,19.0,9.0,7.9,3.5,1010.3,1007.3,118.8,0.008922375334589,1.0,0.0,Lunar New Year,0.0,Wednesday,1,2010.0,902973.0,0.20889375,1.0,0.0,2.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,26.4,26.7,26.6,11.1,9.4,10.5,14.3,7.6,4.0,26.7,10.200000000000001,7.75,original,95,SEDANG
2010-01-07,DKI1,41.0,51.0,4.0,24.0,27.0,13.0,41.0,PM10,BAIK,30.2,24.3,3.4,5.0,11.8,246.0,21.24,26.9,81.0,83.0,1008.5,27.0,246.0,92.0,71.0,100.0,53.0,16.1,7.7,8.3,3.2,1009.8,1005.9,26.18,0.0076351016360932,1.0,0.0,Lunar New Year,0.0,Thursday,1,2010.0,902973.0,0.2102125,1.0,0.0,3.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,26.2,27.4,26.6,9.0,13.5,10.5,13.2,0.9,4.0,26.728571428571428,9.842857142857143,7.128571428571428,original,95,SEDANG
2010-01-08,DKI1,64.0,51.0,8.0,51.0,19.0,15.0,64.0,PM10,SEDANG,27.0,23.9,14.0,19.0,12.7,302.0,10.73,25.1,90.0,99.0,1009.5,25.2,302.0,96.0,80.0,100.0,94.0,13.9,4.7,7.6,1.5,1011.2,1007.8,65.8,0.004655770183259,1.0,0.0,Lunar New Year,0.0,Friday,1,2010.0,902973.0,0.21153125,1.0,0.0,4.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,26.9,26.4,26.6,7.7,11.1,10.5,3.4,14.3,4.0,26.525,9.2,7.9875,original,95,SEDANG
2010-01-09,DKI1,55.0,51.0,5.0,39.0,23.0,16.0,55.0,PM10,SEDANG,28.4,23.5,22.4,20.0,9.3,275.0,13.24,25.2,89.0,100.0,1009.8,29.5,275.0,96.0,74.0,100.0,98.0,20.8,5.5,10.1,0.8,1011.7,1007.5,123.2,0.0054466230936819,1.0,0.0,Lunar New Year,1.0,Saturday,0,2010.0,902973.0,0.2128499999999999,1.0,0.0,5.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,25.1,26.2,26.6,4.7,9.0,10.5,14.0,13.2,4.0,26.37777777777778,8.788888888888888,9.588888888888889,original,95,SEDANG
2010-01-10,DKI1,34.0,51.0,5.0,23.0,26.0,12.0,34.0,PM10,BAIK,28.2,23.2,7.7,18.0,12.9,282.0,16.77,25.8,85.0,94.0,1010.1,28.4,282.0,97.0,70.0,100.0,74.0,17.5,6.1,9.0,1.5,1011.7,1007.7,46.97,0.006039006039006,1.0,0.0,Lunar New Year,1.0,Sunday,0,2010.0,902973.0,0.21416875,1.0,0.0,6.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,25.2,26.9,26.6,5.5,7.7,10.5,22.4,3.4,4.0,26.32,8.52,9.4,original,95,SEDANG
