tanggal,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_gusts_10m_max,winddirection_10m_dominant,relative_humidity_2m_max,relative_humidity_2m_min,cloud_cover_max,cloud_cover_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,surface_pressure_max,surface_pressure_min
2025-09-01,32.955997,24.356,0.9,3,14.336861,144.46223,21.2616,27.995583,74.083336,40.208332,1008.2181,30.239998,144.46223,91.0,50.0,100.0,0.0,13.905,6.213839,3.6,1.9386592,1009.94885,1005.7698
2025-09-02,33.656,24.856,0.0,0,17.727943,123.690094,21.3624,28.3935,68.541664,37.5,1008.5693,35.28,123.690094,86.0,45.0,100.0,0.0,16.859999,7.727409,3.96,1.8,1010.5551,1005.7775
2025-09-03,35.306,24.156,0.0,0,21.900904,161.56496,23.6808,28.558083,66.958336,37.5,1009.06085,43.92,161.56496,86.0,37.0,97.0,0.0,18.644999,8.613396,3.2399998,1.835647,1011.15607,1006.5751
2025-09-04,34.005997,24.306,0.0,0,16.58346,180.0,22.8348,28.470583,71.291664,41.541668,1008.7193,34.92,180.0,87.0,44.0,100.0,0.0,15.21,6.6192055,1.8,0.8049845,1011.0568,1006.1737
2025-09-05,32.755997,24.706,5.9,9,12.964998,216.86998,19.7352,28.001833,77.666664,66.125,1009.14624,28.44,216.86998,91.0,56.0,100.0,32.0,11.024999,4.2846265,3.2399998,0.8049845,1011.1462,1007.0654
2025-09-06,32.255997,24.856,5.2,11,11.879999,7.59456,19.6632,27.735167,76.041664,80.958336,1009.757,26.64,7.59456,90.0,52.0,100.0,28.0,11.415,4.1518216,3.2399998,0.35999998,1011.5609,1007.76526
2025-09-07,32.106,24.506,0.4,0,7.6367526,188.13002,20.6892,27.931,71.666664,72.833336,1009.3582,17.64,188.13002,90.0,53.0,100.0,34.0,8.37,3.2190697,2.52,0.35999998,1011.6466,1006.86945
2025-09-08,33.755997,24.756,0.3,0,12.661564,188.13002,22.1832,28.44975,71.5,69.916664,1009.26447,28.44,188.13002,88.0,46.0,100.0,33.0,12.179999,4.956371,4.68,0.71999997,1011.1567,1006.67377
2025-09-09,32.656,25.006,2.9,6,10.538843,163.30067,20.4444,28.1435,76.5,82.333336,1009.6838,23.039999,163.30067,92.0,51.0,100.0,36.0,11.054999,3.9855087,2.8799999,0.5091169,1011.75604,1006.86816
2025-09-10,32.806,24.756,8.3,11,11.440978,161.56496,19.0908,27.803917,80.041664,87.083336,1008.9124,28.44,161.56496,93.0,58.0,100.0,50.0,13.785,4.6541734,2.16,0.35999998,1010.8561,1006.06866
2025-09-11,32.406,24.856,6.8,11,9.028754,333.43503,18.4392,27.545584,79.666664,91.916664,1008.9864,19.8,333.43503,90.0,56.0,100.0,65.0,11.16,4.228583,5.04,1.08,1011.1443,1006.76263
2025-09-12,32.906,25.006,18.1,7,12.10157,90.0,17.9316,27.672667,81.125,95.791664,1009.54034,24.48,90.0,92.0,56.0,100.0,67.0,9.2699995,3.435912,2.16,0.5091169,1011.34503,1006.66583
2025-09-13,33.505997,24.956,0.9,2,10.538843,198.43504,22.3956,28.333084,74.416664,58.75,1009.8842,21.599998,198.43504,92.0,49.0,100.0,0.0,9.45,3.9163103,3.2399998,0.35999998,1011.85455,1007.47534
2025-09-14,34.156,24.206,1.7,2,14.689589,135.0001,23.2848,28.308083,73.208336,83.583336,1009.73004,29.88,135.0001,92.0,45.0,100.0,32.0,13.3949995,5.8374686,2.8799999,1.484318,1011.7481,1006.8776
2025-09-15,33.205997,25.556,0.4,0,12.015589,144.46223,20.1996,28.672667,70.458336,75.791664,1009.5859,25.919998,144.46223,85.0,48.0,100.0,4.0,12.57,5.336874,5.3999996,2.1897945,1011.8575,1006.8704
2025-09-16,32.755997,25.006,15.9,10,11.113451,224.9999,18.6552,28.097666,75.75,90.666664,1009.5212,24.48,224.9999,87.0,54.0,100.0,33.0,11.61,4.5566664,3.96,1.0182338,1011.65826,1007.066
2025-09-17,32.205997,24.806,17.9,14,12.7279215,360.0,19.1808,27.683083,79.083336,90.416664,1009.7194,27.72,360.0,93.0,62.0,100.0,39.0,11.655,4.386978,3.2399998,0.5091169,1012.1447,1007.06696
2025-09-18,31.206,24.706,0.3,0,8.759178,206.56499,18.8424,27.82475,78.375,88.166664,1009.5743,18.359999,206.56499,92.0,61.0,100.0,44.0,10.365,4.391648,2.16,0.8049845,1011.9509,1006.7692
2025-09-19,32.306,25.306,8.599999,7,10.464798,218.65984,18.8604,27.783083,81.333336,91.25,1009.6824,26.28,218.65984,92.0,59.0,100.0,58.0,17.385,4.4381976,6.12,0.8049845,1011.749,1007.4618
2025-09-20,31.206,25.256,3.6000001,4,15.745627,213.6901,17.4168,27.610167,81.25,96.0,1009.4694,37.44,213.6901,93.0,59.0,100.0,39.0,16.905,6.5625434,2.8799999,1.2979984,1011.65515,1007.7621
2025-09-21,32.306,24.656,6.6,8,11.212135,224.9999,20.9376,27.77475,83.291664,79.791664,1009.89044,26.64,224.9999,98.0,61.0,100.0,51.0,13.424999,5.0660377,3.2399998,1.2979984,1012.0547,1007.7634
2025-09-22,34.306,24.656,2.3,5,13.797912,90.0,24.2316,28.466415,78.166664,62.666668,1008.9441,29.519999,90.0,96.0,50.0,100.0,0.0,13.275001,5.411856,3.2399998,0.0,1010.75116,1005.3721
2025-09-23,33.306,25.106,0.2,1,11.928989,180.0,22.6404,28.466415,77.166664,89.833336,1009.0772,26.28,180.0,90.0,55.0,100.0,42.0,12.66,5.0595555,2.52,1.1384199,1011.6501,1005.7723
2025-09-24,34.106,24.806,0.9,1,10.799999,180.0,23.9472,28.818499,71.916664,70.75,1008.1838,23.759998,180.0,89.0,46.0,100.0,11.0,8.88,3.1866207,2.8799999,0.5091169,1010.35254,1005.1729
2025-09-25,33.255997,24.656,9.5,7,11.792404,172.87508,21.8988,28.308083,73.625,68.041664,1008.802,25.56,172.87508,86.0,54.0,100.0,21.0,10.634999,3.8667915,3.96,1.08,1011.5464,1006.46893
2025-09-26,34.505997,24.606,6.7,6,12.324414,180.0,23.9544,28.422667,74.0,62.666668,1009.38086,25.56,180.0,90.0,46.0,100.0,13.0,12.495,4.7885575,2.52,1.2979984,1011.5559,1005.88086
2025-09-27,33.806,25.756,2.2,4,13.18308,125.537766,21.7836,28.8935,73.666664,87.666664,1008.9041,27.0,125.537766,87.0,50.0,100.0,60.0,13.245,5.641655,3.6,1.9386592,1011.1592,1006.2787
2025-09-28,33.705997,25.806,0.8,2,16.267857,146.3099,22.428,29.189333,72.25,73.416664,1008.8428,37.44,146.3099,89.0,51.0,92.0,43.0,17.295,7.0130806,2.8799999,1.484318,1011.26166,1005.87335
2025-09-29,34.406,25.456,18.1,6,12.57426,106.699326,19.314,28.335167,77.458336,85.041664,1009.5429,27.72,106.699326,90.0,47.0,100.0,48.0,13.709999,5.04894,4.32,1.484318,1011.45654,1007.1678
